# huge temporal dataset for stress validation
# format: time_id node_u node_v
0 1 2
0 1 3
0 1 4
0 1 5
0 1 6
0 1 7
0 1 8
0 1 9
0 1 10
0 1 11
0 1 12
0 2 3
0 2 4
0 2 5
0 2 6
0 2 7
0 2 8
0 2 9
0 2 10
0 2 11
0 2 12
0 3 4
0 3 5
0 3 6
0 3 7
0 3 8
0 3 9
0 3 10
0 3 11
0 3 12
0 4 5
0 4 6
0 4 7
0 4 8
0 4 9
0 4 10
0 4 11
0 4 12
0 5 6
0 5 7
0 5 8
0 5 9
0 5 10
0 5 11
0 5 12
0 6 7
0 6 8
0 6 9
0 6 10
0 6 11
0 6 12
0 7 8
0 7 9
0 7 10
0 7 11
0 7 12
0 8 9
0 8 10
0 8 11
0 8 12
0 9 10
0 9 11
0 9 12
0 10 11
0 10 12
0 11 12
0 1 6
0 1 11
0 1 16
0 1 21
0 1 26
0 1 31
0 1 36
0 1 41
0 1 46
0 6 11
0 6 16
0 6 21
0 6 26
0 6 31
0 6 36
0 6 41
0 6 46
0 11 16
0 11 21
0 11 26
0 11 31
0 11 36
0 11 41
0 11 46
0 16 21
0 16 26
0 16 31
0 16 36
0 16 41
0 16 46
0 21 26
0 21 31
0 21 36
0 21 41
0 21 46
0 26 31
0 26 36
0 26 41
0 26 46
0 31 36
0 31 41
0 31 46
0 36 41
0 36 46
0 41 46
0 32 39
0 32 46
0 32 53
0 32 60
0 32 67
0 32 74
0 32 81
0 32 88
0 39 46
0 39 53
0 39 60
0 39 67
0 39 74
0 39 81
0 39 88
0 46 53
0 46 60
0 46 67
0 46 74
0 46 81
0 46 88
0 53 60
0 53 67
0 53 74
0 53 81
0 53 88
0 60 67
0 60 74
0 60 81
0 60 88
0 67 74
0 67 81
0 67 88
0 74 81
0 74 88
0 81 88
0 1 2
0 2 3
0 3 4
0 4 5
0 5 6
0 6 7
0 7 8
0 8 9
0 9 10
0 10 11
0 11 12
0 12 13
0 13 14
0 14 15
0 15 16
0 16 17
0 17 18
0 18 19
0 19 20
0 20 21
0 21 22
0 22 23
0 23 24
0 24 25
0 25 26
0 26 27
0 27 28
0 28 29
0 29 30
0 30 31
0 31 32
0 32 33
0 33 34
0 34 35
0 35 36
0 36 37
0 37 38
0 38 39
0 39 40
0 40 41
0 41 42
0 42 43
0 43 44
0 44 45
0 45 46
0 46 47
0 47 48
0 48 49
0 49 50
0 50 51
0 51 52
0 52 53
0 53 54
0 54 55
0 55 56
0 56 57
0 57 58
0 58 59
0 59 60
0 60 61
0 61 62
0 62 63
0 63 64
0 64 65
0 65 66
0 66 67
